Name,Type,Latitude,Longtitude
PT Kaltim Prima Coal (KPC),Coal Area,"0,599101","117,473317"
PT Berau Coal,Coal Area,"1,993711","117,383179"
PT IDEO JAYA AGUNG,Coal Area,"-1,907918","115,862892"
PT Adaro Indonesia,Coal Area,"-2,200280","115,533992"
PT Arutmin Indonesia,Coal Area,"-3,454214","116,004832"
PT Eka Tambang Utama,Coal Area,"1,039632","109,227316"
Coal Mine DMC,Coal Area,"-3,255753","114,984511"
PT. Tajahantang Mineral,Coal Area,"-1,142000","113,906183"
"PT. AKT DAMPARAN",Coal Area,"-2,005957","114,847521"
PT. BIMA,Coal Area,"-0,988810","114,416581"
Mt Muro Gold Mine,Coal Area,"0,330041","115,487517"
Trubaindo Coal Mining.PT,Coal Area,"-0,311453","115,853539"
PT.BAR site Kedap Sayaaq Kubar Project,Coal Area,"0,001378","115,694796"
PT. Saptaindra Sejati Hauling Integrated Area,Coal Area,"-0,310254","114,831617"
Menyuban,Lake,"0,833704","112,517721"
Sentarum ,Lake,"0,880989","112,119228"
Biru Pasir Panjang,Lake,"-2,528781","111,633551"
Seluluk,Lake,"-2,133601","112,127935"
Sembuluh,Lake,"-2,564243","112,365123"
Sampiding Tangkarobah,Lake,"-1,816053","112,514872"
Salju,Lake,"-2,351639","112,845895"
Jalan Pangen,Lake,"-2,068116","113,523704"
Biru,Lake,"-3,233310","114,698048"
Sari Embun,Lake,"-3,422147","114,918730"
Sanggu,Lake,"-1,540319","114,902967"
Lait,Lake,"0,003777","109,917524"
Belida,Lake,"0,683041","112,665485"
Genali,Lake,"0,768727","112,254916"
Bekuan,Lake,"0,743314","112,188731"
Tang ,Lake,"0,635293","112,468282"
Jempang,Lake,"-0,430542","116,190797"
Melintang,Lake,"-0,290187","116,331794"
